currentId,title,overview,genres,runtime,releaseDate,posterPath
1,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","Animation, Comedy, Family",81.0,1995-10-30,https://flixpatrol.com/runtime/cache/files/posters/g/w350/rhIRbceoE9lR4veEXuwCC2wARtG.jpg
5,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","Romance, Comedy",101.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg
10,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Comedy,106.0,1995-02-10,https://flixpatrol.com/runtime/cache/files/posters/g/w350/e64sOI48hQXyru7naBFyssKFxVd.jpg
11,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","Action, Adventure, Drama, Family",97.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg
14,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...","Action, Adventure, Thriller",106.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg
16,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"Adventure, Action, Thriller",130.0,1995-11-16,https://flixpatrol.com/runtime/cache/files/posters/g/w350/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg
17,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","Comedy, Drama, Romance",106.0,1995-11-17,https://flixpatrol.com/runtime/cache/files/posters/g/w350/lymPNGLZgPHuqM29rKMGV46ANij.jpg
21,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Family, Animation, Adventure",78.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg
22,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","History, Drama",192.0,1995-12-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg
32,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"Drama, Crime",178.0,1995-11-22,https://flixpatrol.com/runtime/cache/files/posters/g/w350/xo517ibXBDdYQY81j0WIG7BVcWq.jpg
34,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Crime, Comedy",98.0,1995-12-09,https://flixpatrol.com/runtime/cache/files/posters/g/w350/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg
36,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","Crime, Comedy, Adventure",90.0,1995-11-10,https://flixpatrol.com/runtime/cache/files/posters/g/w350/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg
39,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","Action, Comedy, Crime",103.0,1995-11-21,https://flixpatrol.com/runtime/cache/files/posters/g/w350/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg
